Program,Basic_Expenses,Basic_Income,Supported_Income,Other sources,Other support,Loans - over graduate program so far
MSc (12-credit thesis),2151.67,2166.00,2966.00,800.00,0.00,0.00
MSc (12-credit thesis),2680.00,1200.00,1200.00,0.00,0.00,0.00
MSc (12-credit thesis),2159.67,1500.00,1500.00,0.00,0.00,2000.00
MSc (12-credit thesis),2123.33,2000.00,2000.00,0.00,0.00,0.00
MSc (12-credit thesis),2471.67,1300.00,1300.00,0.00,0.00,0.00
MSc (12-credit thesis),1700.00,2250.00,2250.00,0.00,0.00,0.00
MSc (12-credit thesis),1677.50,2826.00,3106.00,80.00,200.00,0.00
MSc (12-credit thesis),2933.33,2000.00,3200.00,1200.00,0.00,0.00
MSc (12-credit thesis),2633.33,1600.00,1600.00,0.00,0.00,0.00
MSc (12-credit thesis),2685.00,2600.00,3100.00,0.00,500.00,0.00
MSc (12-credit thesis),1811.67,1500.00,2300.00,0.00,800.00,18000.00
MSc (12-credit thesis),2596.67,2166.00,2166.00,0.00,0.00,3000.00
MSc (12-credit thesis),1860.00,2200.00,2200.00,0.00,0.00,5000.00
MSc (12-credit thesis),1795.00,3000.00,3000.00,0.00,0.00,0.00
MSc (12-credit thesis),4416.67,2500.00,4500.00,0.00,2000.00,0.00
MSc (12-credit thesis),1775.00,0.00,0.00,0.00,0.00,0.00
MSc (12-credit thesis),2966.67,2500.00,3000.00,0.00,500.00,0.00
MSc (12-credit thesis),2334.67,2500.00,3700.00,1200.00,0.00,4000.00
MSc (12-credit thesis),2410.00,2200.00,2600.00,400.00,0.00,0.00
MSc (12-credit thesis),2567.83,1511.00,1511.00,0.00,0.00,0.00
MSc (12-credit thesis),1766.67,2000.00,2000.00,0.00,0.00,8000.00
MSc (12-credit thesis),1956.67,1500.00,2700.00,1200.00,0.00,0.00
MSc (12-credit thesis),3550.00,2700.00,3500.00,0.00,800.00,0.00
MSc (12-credit thesis),3600.00,3600.00,3600.00,0.00,0.00,20000.00
MSc (12-credit thesis),1441.67,2300.00,2300.00,0.00,0.00,0.00
MSc (12-credit thesis),1826.67,2000.00,2000.00,0.00,0.00,0.00
MSc (12-credit thesis),1841.67,2800.00,2800.00,0.00,0.00,0.00
MSc (12-credit thesis),1650.00,5600.00,5600.00,0.00,0.00,0.00
MSc (12-credit thesis),2498.33,3050.00,3050.00,0.00,0.00,0.00
MSc (12-credit thesis),1766.67,4166.00,4166.00,0.00,0.00,8000.00
MSc (12-credit thesis),1817.67,0.00,0.00,0.00,0.00,0.00
MSc (12-credit thesis),1400.00,0.00,0.00,0.00,0.00,0.00
MSc (12-credit thesis),2366.67,0.00,0.00,0.00,0.00,0.00
MSc (12-credit thesis),2650.00,2700.00,3200.00,0.00,500.00,0.00
MSc (12-credit thesis),1730.00,0.00,0.00,0.00,0.00,0.00
PhD,2158.35,1670.00,1670.00,0.00,0.00,0.00
PhD,3283.33,2500.00,4500.00,0.00,2000.00,20000.00
PhD,2575.00,2400.00,2400.00,0.00,0.00,0.00
PhD,1950.00,3900.00,3900.00,0.00,0.00,3000.00
PhD,3800.00,2250.00,6250.00,4000.00,0.00,10000.00
PhD,1885.00,2500.00,2500.00,0.00,0.00,0.00
PhD,2450.00,2300.00,2800.00,0.00,500.00,0.00
PhD,3033.33,2400.00,2900.00,0.00,500.00,0.00
PhD,2408.33,2666.67,2666.67,0.00,0.00,0.00
PhD,2250.00,2000.00,3300.00,1000.00,300.00,4000.00
PhD,1850.00,2000.00,2000.00,0.00,0.00,0.00
PhD,2566.67,2000.00,2660.00,360.00,300.00,0.00
PhD,3573.00,2000.00,4500.00,0.00,2500.00,0.00
PhD,2650.00,2000.00,2000.00,0.00,0.00,0.00
PhD,1835.00,2166.68,2166.68,0.00,0.00,0.00
PhD,2383.33,2000.00,2000.00,0.00,0.00,0.00
PhD,2500.00,2250.00,4250.00,2000.00,0.00,0.00
PhD,2436.67,3934.00,4734.00,0.00,800.00,0.00
PhD,2883.33,3600.00,4100.00,0.00,500.00,40000.00
PhD,3166.67,1500.00,3700.00,2200.00,0.00,10000.00
PhD,4088.33,2766.00,2766.00,0.00,0.00,0.00
PhD,2200.00,2500.00,2500.00,0.00,0.00,0.00
PhD,2441.67,2800.00,2800.00,0.00,0.00,0.00
PhD,1928.33,2600.00,2600.00,0.00,0.00,0.00
PhD,2200.00,2500.00,2500.00,0.00,0.00,0.00
PhD,2300.00,4555.00,4555.00,0.00,0.00,0.00
PhD,2186.67,2250.00,2250.00,0.00,0.00,0.00
PhD,2816.67,2450.00,2950.00,0.00,500.00,0.00
PhD,3600.00,3000.00,3000.00,0.00,0.00,0.00
PhD,2383.33,1500.00,3000.00,1500.00,0.00,0.00
PhD,2245.00,2500.00,2500.00,0.00,0.00,0.00
PhD,2198.33,2140.00,2140.00,0.00,0.00,0.00
PhD,2290.00,3333.00,3333.00,0.00,0.00,5000.00
PhD,2101.67,2250.00,2250.00,0.00,0.00,0.00
PhD,4802.67,2500.00,10000.00,7500.00,0.00,150000.00
PhD,1725.00,2900.00,4700.00,0.00,1800.00,10000.00
PhD,2280.00,2500.00,2500.00,0.00,0.00,0.00
PhD,5301.67,2520.00,2520.00,0.00,0.00,0.00
PhD,3350.00,2000.00,2000.00,0.00,0.00,0.00
PhD,2875.00,2066.00,2066.00,0.00,0.00,0.00
PhD,2570.00,2500.00,2500.00,0.00,0.00,0.00
PhD,3341.00,4000.00,4700.00,0.00,700.00,0.00
PhD,4708.33,2100.00,5100.00,2000.00,1000.00,10000.00
PhD,3833.33,1466.00,1466.00,0.00,0.00,0.00
PhD Track,2016.67,1800.00,3200.00,1400.00,0.00,16000.00
PhD Track,1786.67,1600.00,3100.00,0.00,1500.00,0.00
PhD Track,2583.33,2700.00,2900.00,0.00,200.00,0.00
PhD Track,3816.67,800.00,800.00,0.00,0.00,20000.00
PhD Track,2245.08,2800.00,3300.00,0.00,500.00,0.00
PhD Track,1251.67,1622.44,1989.44,167.00,200.00,0.00
PhD Track,1938.67,2000.00,2000.00,0.00,0.00,0.00
PhD Track,1775.00,2800.00,2800.00,0.00,0.00,0.00
